t	A	AB	ABC	AC	B	BAC	BC	C CABC
5.882000000000299	0.2668999061681916	4.212488638741031E-5	0.0028172347263808956	19.99555931775234	0.2668999061681916	0.0028172347263808956	19.99555931775234	3564.2871181239752	75.39965520557352
5.883000000000299	0.26689966236194396	4.2114991680602934E-5	0.0028172347388545835	19.995559268953397	0.26689966236194396	0.0028172347388545835	19.995559268953397	3564.287117616407	75.39965550813815
5.8840000000003	0.2668994191105695	4.210511849390898E-5	0.002817234749819819	19.99555922026573	0.2668994191105695	0.002817234749819819	19.99555922026573	3564.287117110002	75.39965581001881
5.8850000000003	0.26689917641281485	4.2095266780374324E-5	0.0028172347611780256	19.995559171688832	0.26689917641281485	0.0028172347611780256	19.995559171688832	3564.2871166047566	75.39965611121173
5.8860000000003	0.26689893426742023	4.208543649341728E-5	0.002817234771770156	19.995559123222996	0.26689893426742023	0.002817234771770156	19.995559123222996	3564.287116100658	75.39965641172276
5.887000000000301	0.26689869267311067	4.2075627586323756E-5	0.002817234782716425	19.995559074867565	0.26689869267311067	0.002817234782716425	19.995559074867565	3564.287115597699	75.39965671154737
5.888000000000301	0.2668984516286424	4.206584001249395E-5	0.0028172347952568305	19.995559026622242	0.2668984516286424	0.0028172347952568305	19.995559026622242	3564.287115095896	75.3996570106907
5.889000000000301	0.2668982111327688	4.205607372587545E-5	0.002817234805592602	19.995558978486883	0.2668982111327688	0.002817234805592602	19.995558978486883	3564.287114595211	75.39965730915769
5.890000000000302	0.26689797118423614	4.204632867995945E-5	0.0028172348169254392	19.995558930461524	0.26689797118423614	0.0028172348169254392	19.995558930461524	3564.28711409568	75.39965760694123
5.891000000000302	0.26689773178178944	4.203660482855915E-5	0.002817234828313315	19.99555888254555	0.26689773178178944	0.002817234828313315	19.99555888254555	3564.2871135972714	75.39965790404875
5.892000000000302	0.266897492924192	4.202690212562102E-5	0.0028172348396370553	19.995558834738727	0.266897492924192	0.0028172348396370553	19.995558834738727	3564.287113100006	75.39965820048057
5.893000000000303	0.2668972546102098	4.201722052523678E-5	0.002817234849941266	19.995558787040824	0.2668972546102098	0.002817234849941266	19.995558787040824	3564.2871126038744	75.39965849624237
5.894000000000303	0.2668970168385896	4.2007559981321336E-5	0.002817234861476863	19.995558739451866	0.2668970168385896	0.002817234861476863	19.995558739451866	3564.2871121088483	75.39965879132808
5.895000000000303	0.26689677960811115	4.199792044820685E-5	0.002817234872572196	19.995558691971212	0.26689677960811115	0.002817234872572196	19.995558691971212	3564.2871116149677	75.39965908574484
5.896000000000304	0.2668965429175273	4.198830188025083E-5	0.0028172348830062823	19.995558644599015	0.2668965429175273	0.0028172348830062823	19.995558644599015	3564.2871111221984	75.39965937949273
5.897000000000304	0.26689630676562626	4.19787042317143E-5	0.002817234894703308	19.995558597334576	0.26689630676562626	0.002817234894703308	19.995558597334576	3564.287110630545	75.39965967257245
5.898000000000304	0.2668960711511695	4.196912745732693E-5	0.0028172349049925423	19.995558550177964	0.2668960711511695	0.0028172349049925423	19.995558550177964	3564.2871101400224	75.39965996498562
5.899000000000305	0.26689583607291983	4.195957151143055E-5	0.0028172349164623162	19.995558503129036	0.26689583607291983	0.0028172349164623162	19.995558503129036	3564.287109650598	75.39966025673279
5.900000000000305	0.26689560152967245	4.1950036348868295E-5	0.002817234927562087	19.995558456187105	0.26689560152967245	0.002817234927562087	19.995558456187105	3564.2871091623047	75.39966054781766
5.901000000000305	0.2668953675202146	4.1940521924552014E-5	0.0028172349372829887	19.99555840935234	0.2668953675202146	0.0028172349372829887	19.99555840935234	3564.2871086750874	75.39966083824348
5.902000000000306	0.2668951340433179	4.193102819315678E-5	0.0028172349488951947	19.995558362624323	0.2668951340433179	0.0028172349488951947	19.995558362624323	3564.287108189011	75.39966112800577
5.903000000000306	0.2668949010977761	4.192155510990353E-5	0.002817234959489588	19.995558316002832	0.2668949010977761	0.002817234959489588	19.995558316002832	3564.2871077040404	75.39966141711109
5.904000000000306	0.2668946686823773	4.1912102629750165E-5	0.0028172349706424484	19.995558269487443	0.2668946686823773	0.0028172349706424484	19.995558269487443	3564.287107220151	75.39966170555851
5.905000000000307	0.2668944367959151	4.190267070799159E-5	0.0028172349809425785	19.995558223078405	0.2668944367959151	0.0028172349809425785	19.995558223078405	3564.2871067373635	75.39966199335058
5.906000000000307	0.2668942054371856	4.189325929976689E-5	0.002817234992382442	19.995558176774963	0.2668942054371856	0.002817234992382442	19.995558176774963	3564.2871062556706	75.39966228048715
