	time(s)		A copies
   1.5037553e-02   7.9852084e+03
   1.5388178e-02   7.8179985e+03
   1.5746977e-02   7.6540216e+03
   1.6114143e-02   7.4932279e+03
   1.6489869e-02   7.3355680e+03
   1.6874357e-02   7.1809925e+03
   1.7267809e-02   7.0294526e+03
   1.7670435e-02   6.8808995e+03
   1.8082449e-02   6.7352851e+03
   1.8504070e-02   6.5925614e+03
   1.8935522e-02   6.4526809e+03
   1.9377033e-02   6.3155966e+03
   1.9828839e-02   6.1812617e+03
   2.0291180e-02   6.0496299e+03
   2.0764301e-02   5.9206554e+03
   2.1248454e-02   5.7942928e+03
