	time(us)     A(t)              StDev(A)
   4.3700000e-02   1.6166667e+01   3.1021264e+00
   4.3800000e-02   1.6166667e+01   3.1021264e+00
   4.3900000e-02   1.6083333e+01   3.0348221e+00
   4.4000000e-02   1.6083333e+01   3.0348221e+00
   4.4100000e-02   1.6083333e+01   3.0348221e+00
   4.4200000e-02   1.6041667e+01   3.0285477e+00
   4.4300000e-02   1.6041667e+01   3.0285477e+00
   4.4400000e-02   1.6041667e+01   3.0285477e+00
   4.4500000e-02   1.6041667e+01   3.0285477e+00
   4.4600000e-02   1.6041667e+01   3.0285477e+00
   4.4700000e-02   1.6041667e+01   3.0285477e+00
   4.4800000e-02   1.6041667e+01   3.0285477e+00
   4.4900000e-02   1.5916667e+01   2.9476102e+00
   4.5000000e-02   1.5875000e+01   3.0261541e+00
   4.5100000e-02   1.5833333e+01   3.0024145e+00
   4.5200000e-02   1.5708333e+01   2.9705682e+00
   4.5300000e-02   1.5708333e+01   2.9705682e+00
   4.5400000e-02   1.5625000e+01   2.9312781e+00
   4.5500000e-02   1.5625000e+01   2.9312781e+00
   4.5600000e-02   1.5583333e+01   2.9179604e+00
   4.5700000e-02   1.5541667e+01   2.9039578e+00
   4.5800000e-02   1.5541667e+01   2.9039578e+00
   4.5900000e-02   1.5541667e+01   2.9039578e+00
   4.6000000e-02   1.5541667e+01   2.9039578e+00
   4.6100000e-02   1.5541667e+01   2.9039578e+00
   4.6200000e-02   1.5541667e+01   2.9039578e+00
   4.6300000e-02   1.5500000e+01   2.8892605e+00
   4.6400000e-02   1.5416667e+01   2.9328227e+00
   4.6500000e-02   1.5375000e+01   2.9607945e+00
   4.6600000e-02   1.5375000e+01   2.9607945e+00
   4.6700000e-02   1.5333333e+01   2.9142329e+00
   4.6800000e-02   1.5291667e+01   2.9411498e+00
   4.6900000e-02   1.5291667e+01   2.9411498e+00
   4.7000000e-02   1.5166667e+01   3.0024145e+00
   4.7100000e-02   1.5125000e+01   2.9972814e+00
   4.7200000e-02   1.5083333e+01   2.9623238e+00
   4.7300000e-02   1.5041667e+01   3.0285477e+00
   4.7400000e-02   1.5041667e+01   3.0285477e+00
   4.7500000e-02   1.5000000e+01   3.0216609e+00
   4.7600000e-02   1.5000000e+01   3.0216609e+00
   4.7700000e-02   1.4958333e+01   3.0428700e+00
   4.7800000e-02   1.4916667e+01   3.0348221e+00
   4.7900000e-02   1.4916667e+01   3.0348221e+00
   4.8000000e-02   1.4916667e+01   3.0348221e+00
   4.8100000e-02   1.4875000e+01   3.0261541e+00
   4.8200000e-02   1.4833333e+01   3.0597907e+00
   4.8300000e-02   1.4750000e+01   3.0680684e+00
   4.8400000e-02   1.4708333e+01   3.0713142e+00
   4.8500000e-02   1.4708333e+01   3.0713142e+00
   4.8600000e-02   1.4708333e+01   3.0713142e+00
   4.8700000e-02   1.4666667e+01   3.0455480e+00
   4.8800000e-02   1.4625000e+01   3.0045256e+00
   4.8900000e-02   1.4583333e+01   2.9769647e+00
   4.9000000e-02   1.4583333e+01   2.9769647e+00
   4.9100000e-02   1.4583333e+01   2.9769647e+00
   4.9200000e-02   1.4541667e+01   2.9632410e+00
   4.9300000e-02   1.4541667e+01   2.9632410e+00
   4.9400000e-02   1.4416667e+01   2.9623238e+00
